Time	realtime	AlgorhithmStage	AutoDoserStatus	BaseProgramID	CoinOperator	CommandParameter	CurrentError	DelayedError	DoorLock	DoorRelay	DrumLight	EPS	EPS_Error	EPS_Plausible	EPS_PlausibleU8	ErrorCounter	Exception	FinalRpm	FinalRpm0	ForbiddenRpmH	ForbiddenRpmL	HalfLoad	HandledError	Heater	I1	IFull	Inertia	InertiaAccumulator	InertiaSamples	InitialParameter0	MotorSetPoint	Ionizer	IsSpinFinished	MaxAddTime	MaxRed	MaxRpm	Mode_ID	MotorDriverTemperature	MotorPower	MotorSpeed	MotorState	MotorView	NTC	NTC_Error	NWL	NrRed	NrRepeatSt1	NrStage3	NrStage4	NrStage5	NumAnticrease	Overflow	OverFlowDetection	Peak600	PlannedStage	PumpAir	PumpDrain	PumpRecirculation	RawInertia	RawUblHigh	RawUblHighCompensated	RawUblLow	RawUblLowCompensated	RpmB	RpmC	S11Reduction	SafetyRelay	SkipSkip	SkipSpin	SpinHandlerTimer	SpinProfile	SpinProfileB	SpinSkipFlag	SpinState	SpinTimer	St10Time2	St8Rpm1	St9Rpm1	StandBy	StatusBits	StepCounter	SterilTubeAlert	TargetTemperature	TargetWaterLevel	TemperatureID	TimeProgramSelectedTime	TimeToEnd	UIWakeUp	UblAB	UblC	UblEH	UblEL	UblEM	UblFH	UblFL	UblFM	UblH	UblHigh	UblL	UblLow	UblM	UBL_STABILITY_HIGH	UBL_STABILITY_LOW	UblTestValue	ValveAquaStop	ValveCold1	ValveCold2	ValveCold4	ValveHot	WashPhase	WashTimer	WasherLogicState	WaterLevel	eState	option5	MAT_version	PCU_version	MCU_version	Touch_version	DrumOffset_Hight	DrumOffset_Low	WashStep	X_RMS	Y_RMS	Z_RMS	Machine No.	LineVoltage	Reserved1	Reserved2	Created By Gorenje Electronic R&D Department	
2023-07-11 16:46:17.08	0:00:10.387386	0	1	29	0	2	0	0	1	0	0	611	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	34.0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	1	0	0	0	3	11	0	25	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:18.09	0:00:11.391699	0	1	29	0	2	0	0	1	0	0	610	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	33.8	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	1	0	0	0	3	11	0	27	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:19.10	0:00:12.400002	0	1	29	0	2	0	0	1	0	0	609	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	33.5	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	1	0	0	0	3	11	0	30	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:20.07	0:00:13.379389	0	1	29	0	2	0	0	1	0	0	607	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	33.2	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	1	0	0	0	3	11	0	35	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:21.07	0:00:14.374718	0	1	29	0	2	0	0	1	0	0	606	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	32.9	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	1	0	0	0	3	11	0	37	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:22.08	0:00:15.381027	0	1	29	0	2	0	0	1	0	0	606	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	32.5	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	37	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		232	1	0	
2023-07-11 16:46:23.08	0:00:16.386342	0	1	29	0	2	0	0	1	0	0	604	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	32.2	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	42	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		230	1	0	
2023-07-11 16:46:24.09	0:00:17.394644	0	1	29	0	2	0	0	1	0	0	603	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	31.8	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	45	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		230	1	0	
2023-07-11 16:46:25.10	0:00:18.399991	0	1	29	0	2	0	0	1	0	0	603	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	31.4	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	45	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		230	1	0	
2023-07-11 16:46:26.09	0:00:19.397343	0	1	29	0	2	0	0	1	0	0	603	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	31.0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	45	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		230	1	0	
2023-07-11 16:46:27.09	0:00:20.390686	0	1	29	0	2	0	0	1	0	0	604	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	30.6	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	42	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		230	1	0	
2023-07-11 16:46:28.09	0:00:21.395981	0	1	29	0	2	0	0	1	0	0	603	0	0	0	0	0	1200	1200	1050	1050	3	0	0	2500	1	0	0	0	3	0	2	0	0	30	1200	0	14	0	0	0	0	30.3	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	65535	160	0	72	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	40	4	0	30	0	0	0	800	713	1000	800	513	800	800	35	513	80	800	2	11	0	0	0	0	0	0	3	11	0	45	1	1	3.4.5.1	001.000.016	001.009.023	000.000.006	100	125	1	0	0	0		230	1	0	
