Time	realtime	AlgorhithmStage	AutoDoserStatus	BaseProgramID	CoinOperator	CommandParameter	CurrentError	DelayedError	DoorLock	DoorRelay	DrumLight	EPS	EPS_Error	EPS_Plausible	EPS_PlausibleU8	ErrorCounter	Exception	FinalRpm	FinalRpm0	ForbiddenRpmH	ForbiddenRpmL	HalfLoad	HandledError	Heater	I1	IFull	Inertia	InertiaAccumulator	InertiaSamples	InitialParameter0	MotorSetPoint	Ionizer	IsSpinFinished	MaxAddTime	MaxRed	MaxRpm	Mode_ID	MotorDriverTemperature	MotorPower	MotorSpeed	MotorState	MotorView	NTC	NTC_Error	NWL	NrRed	NrRepeatSt1	NrStage3	NrStage4	NrStage5	NumAnticrease	Overflow	OverFlowDetection	Peak600	PlannedStage	PumpAir	PumpDrain	PumpRecirculation	RawInertia	RawUblHigh	RawUblHighCompensated	RawUblLow	RawUblLowCompensated	RpmB	RpmC	S11Reduction	SafetyRelay	SkipSkip	SkipSpin	SpinHandlerTimer	SpinProfile	SpinProfileB	SpinSkipFlag	SpinState	SpinTimer	St10Time2	St8Rpm1	St9Rpm1	StandBy	StatusBits	StepCounter	SterilTubeAlert	TargetTemperature	TargetWaterLevel	TemperatureID	TimeProgramSelectedTime	TimeToEnd	UIWakeUp	UblAB	UblC	UblEH	UblEL	UblEM	UblFH	UblFL	UblFM	UblH	UblHigh	UblL	UblLow	UblM	UBL_STABILITY_HIGH	UBL_STABILITY_LOW	UblTestValue	ValveAquaStop	ValveCold1	ValveCold2	ValveCold4	ValveHot	WashPhase	WashTimer	WasherLogicState	WaterLevel	eState	option5	MAT_version	PCU_version	MCU_version	Touch_version	DrumOffset_Hight	DrumOffset_Low	WashStep	X_RMS	Y_RMS	Z_RMS	Machine No.	Reserved1	Reserved2	Reserved3	Reserved4	Created By Gorenje Electronic R&D Department	
2023-07-03 14:02:24.35	0:00:20.671502	0	1	1	0	2	0	0	1	0	0	626	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	100	1	0	0	30	1200	0	33	6	93	1	0	27.6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	65535	0	176	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-12	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		228	0	1	0	
2023-07-03 14:02:25.35	0:00:21.668395	0	1	1	0	2	0	0	1	0	0	626	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	100	1	0	0	30	1200	0	33	6	104	1	0	27.6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	65535	0	176	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-12	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		228	0	1	0	
2023-07-03 14:02:26.35	0:00:22.664479	0	1	1	0	2	0	0	1	0	0	625	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	100	1	0	0	30	1200	0	33	7	101	1	0	27.6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	65535	0	176	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-10	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		228	0	1	0	
2023-07-03 14:02:27.36	0:00:23.678954	0	1	1	0	2	0	0	1	0	0	625	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	100	1	0	0	30	1200	0	33	15	101	1	0	27.7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	65535	0	176	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-10	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		226	0	1	0	
2023-07-03 14:02:28.36	0:00:24.679904	0	1	1	0	2	0	0	1	0	0	625	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	100	1	0	0	30	1200	0	33	15	100	1	0	27.7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	65535	0	176	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-10	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		226	0	1	0	
2023-07-03 14:02:29.35	0:00:25.667909	0	1	1	0	2	0	0	1	0	0	626	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	100	1	0	0	30	1200	0	33	8	100	1	0	27.7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	65535	0	176	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-12	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		228	0	1	0	
2023-07-03 14:02:30.36	0:00:26.673991	0	1	1	0	2	0	0	1	0	0	626	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	100	1	0	0	30	1200	0	33	6	100	1	0	27.7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	65535	0	176	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-12	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		228	0	1	0	
2023-07-03 14:02:31.35	0:00:27.669255	0	1	1	0	2	0	0	1	0	0	626	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	100	1	0	0	30	1200	0	33	15	100	1	0	27.7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	65535	0	176	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-12	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		226	0	1	0	
2023-07-03 14:02:32.35	0:00:28.665922	0	1	1	0	2	0	0	1	0	0	626	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	100	1	0	0	30	1200	0	33	15	100	1	0	27.8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	65535	0	176	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-12	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		226	0	1	0	
2023-07-03 14:02:33.37	0:00:29.683965	0	1	1	0	2	0	0	1	0	0	626	0	0	0	0	0	1200	1200	1050	1050	0	0	0	2500	1	0	0	0	-27	100	1	0	0	30	1200	0	33	8	100	1	0	27.8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65535	65535	0	176	0	1000	800	0	0	0	0	0	6	0	0	0	0	150	500	600	0	0	0	5	0	0	6	0	177	0	0	0	800	662	1000	800	462	800	800	92	462	180	800	1	2	0	0	0	0	0	0	3	112	0	-12	1	1	3.4.4	001.000.016	001.008.010	000.000.006	90	132	1	0	0	0		228	0	1	0	
